epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9217,1.51667,4.43299,1.73413,0.22631,0.2096,0.10503,0.05063,1.45697,2.9654,1.83256,8.82e-05,8.82e-05,8.82e-05
2,30.5762,1.31619,2.87596,1.55528,0.13537,0.2658,0.04517,0.01883,1.7663,inf,2.26578,0.000181558,0.000181558,0.000181558
3,43.5163,1.36889,2.47455,1.54258,0.03034,0.25893,0.0227,0.01169,1.45886,inf,2.42225,0.000274171,0.000274171,0.000274171
4,61.9846,1.38709,2.26524,1.58359,0.00169,0.11837,0.00109,0.00077,2.23751,inf,4.67465,0.000366039,0.000366039,0.000366039
5,77.4808,1.44738,2.29535,1.68357,0.08703,0.19522,0.01917,0.00603,1.63674,inf,5.81893,0.000457162,0.000457162,0.000457162
6,93.2721,1.51157,2.26281,1.70477,0.00944,0.29599,0.00593,0.00168,2.654,inf,56.8621,0.00054754,0.00054754,0.00054754
7,105.773,1.46967,2.23836,1.69513,1e-05,0.07692,3e-05,1e-05,2.41084,inf,228.389,0.000574029,0.000574029,0.000574029
8,123.94,1.51037,2.16791,1.72078,0,0,0,0,nan,nan,nan,0.000571701,0.000571701,0.000571701
9,136.888,1.48643,2.0404,1.68007,0.00023,0.05786,0.00015,4e-05,3.97237,inf,17.1777,0.000569372,0.000569372,0.000569372
10,150.224,1.46667,2.02392,1.68198,0.29619,0.27736,0.06552,0.02755,2.64318,7.93952,3.96633,0.000567044,0.000567044,0.000567044
11,162.73,1.40898,1.95336,1.63516,0.56354,0.19742,0.17005,0.10368,1.40306,2.43915,2.05464,0.000564715,0.000564715,0.000564715
12,175.942,1.44168,1.98133,1.65235,0.40355,0.21885,0.11393,0.06183,1.45542,5.60273,2.14782,0.000562387,0.000562387,0.000562387
13,188.541,1.41247,1.94956,1.64817,0.42619,0.27908,0.16839,0.08375,1.42922,4.51475,2.16425,0.000560058,0.000560058,0.000560058
14,201.072,1.37653,1.86462,1.59065,0.3455,0.22093,0.1411,0.08538,1.45105,2.72113,1.96016,0.00055773,0.00055773,0.00055773
15,213.574,1.37714,1.8172,1.61316,0.38959,0.24724,0.16926,0.09211,1.50407,2.17529,2.08339,0.000555401,0.000555401,0.000555401
16,226.473,1.37381,1.89552,1.59534,0.3519,0.30572,0.17266,0.09797,1.57215,2.64126,2.11556,0.000553073,0.000553073,0.000553073
17,239.023,1.32391,1.81185,1.57322,0.64995,0.11653,0.11255,0.04789,2.07306,8.55151,2.67297,0.000550744,0.000550744,0.000550744
18,251.558,1.28011,1.75288,1.52125,0.66958,0.20714,0.21472,0.12185,1.13233,2.15172,1.60255,0.000548416,0.000548416,0.000548416
19,264.448,1.2961,1.74941,1.5396,0.46253,0.39061,0.2419,0.14304,1.0971,2.2772,1.59196,0.000546087,0.000546087,0.000546087
20,277.393,1.27277,1.69526,1.54457,0.50574,0.33391,0.31805,0.18583,1.17794,1.65516,1.67199,0.000543759,0.000543759,0.000543759
21,290.368,1.27521,1.67701,1.53851,0.47951,0.30628,0.23885,0.15285,1.23002,1.87226,1.79061,0.00054143,0.00054143,0.00054143
22,302.898,1.26567,1.66981,1.52518,0.43882,0.32633,0.25354,0.15085,1.14619,2.72975,1.68334,0.000539102,0.000539102,0.000539102
23,315.42,1.20147,1.58863,1.481,0.44189,0.40167,0.30087,0.18443,1.06004,1.5109,1.58813,0.000536773,0.000536773,0.000536773
24,327.956,1.23191,1.58167,1.48985,0.63488,0.38409,0.33747,0.21877,1.08653,1.38273,1.59167,0.000534445,0.000534445,0.000534445
25,341.253,1.27243,1.61856,1.53444,0.54887,0.40841,0.34337,0.2031,1.09601,1.45811,1.57825,0.000532116,0.000532116,0.000532116
26,353.717,1.25488,1.57628,1.52925,0.53865,0.37726,0.32966,0.19461,1.13366,1.30297,1.63515,0.000529788,0.000529788,0.000529788
27,366.184,1.2454,1.53426,1.51238,0.66501,0.30701,0.33035,0.20721,1.06902,1.44645,1.51328,0.00052746,0.00052746,0.00052746
28,378.7,1.19113,1.50453,1.48348,0.4385,0.42713,0.30599,0.19233,1.11054,1.32844,1.5775,0.000525131,0.000525131,0.000525131
29,391.137,1.23011,1.58138,1.50055,0.39739,0.38483,0.28373,0.1548,1.28213,1.74751,1.88852,0.000522803,0.000522803,0.000522803
30,403.645,1.22179,1.54928,1.48592,0.57409,0.28973,0.34268,0.20821,1.08155,1.49777,1.58257,0.000520474,0.000520474,0.000520474
31,416.163,1.17146,1.47933,1.44154,0.47441,0.39495,0.32207,0.19003,1.17222,1.99926,1.66513,0.000518146,0.000518146,0.000518146
32,428.644,1.21679,1.52653,1.48044,0.59251,0.39544,0.34999,0.22074,1.06996,1.3527,1.54407,0.000515817,0.000515817,0.000515817
33,441.608,1.17053,1.48498,1.45063,0.37539,0.44632,0.33867,0.20492,1.06577,1.48033,1.55376,0.000513489,0.000513489,0.000513489
34,454.07,1.21058,1.47091,1.49495,0.41435,0.43407,0.33836,0.20259,1.2074,1.35455,1.73072,0.00051116,0.00051116,0.00051116
35,466.895,1.17418,1.40086,1.44955,0.38737,0.44691,0.39132,0.22686,0.98719,1.15839,1.47675,0.000508832,0.000508832,0.000508832
