"","Response","Taxon","Effect.type","Explanatory","Estimate","Statistics","K","P","Signif","R2","AIC","Scale"
"33","Abundance","Hemiptera","Random effects","Coordinates",NA,459.214367609071,19,0,"****",0.72454390915811,1368.72063988619,250
"34","Abundance","Hymenoptera","Fixed effects","(Intercept)",-0.417791672241669,-3.12918689365595,18,0.00175290776953627,"**",0.162398224424451,926.864645381799,250
"35","Abundance","Hymenoptera","Fixed effects","Area",1.61978240453338,8.17146364031548,18,3.04670331408346e-16,"****",0.162398224424451,926.864645381799,250
"36","Abundance","Hymenoptera","Random effects","Coordinates",NA,69.2974906943064,18,0,"****",0.162398224424451,926.864645381799,250
"37","Abundance","Nematocera","Fixed effects","(Intercept)",5.31582092213763,242.398501816369,19,0,"****",0.716080621265691,6479.6941955976,250
"38","Abundance","Nematocera","Fixed effects","Area",-3.95290987905108,-80.6942225625689,19,0,"****",0.716080621265691,6479.6941955976,250
"39","Abundance","Nematocera","Random effects","Coordinates",NA,4053.75366597544,19,0,"****",0.716080621265691,6479.6941955976,250
"40","Abundance","Trichoptera","Fixed effects","(Intercept)",0.772012850444337,6.75862790210214,19,1.39304644234749e-11,"****",0.224743936034414,786.87864439061,250
"41","Abundance","Trichoptera","Fixed effects","Area",-1.35132145601413,-6.12817639785199,19,8.8892002951971e-10,"****",0.224743936034414,786.87864439061,250
"42","Abundance","Trichoptera","Random effects","Coordinates",NA,103.331434770431,19,0,"****",0.224743936034414,786.87864439061,250
"43","Abundance","Brachycera","Fixed effects","(Intercept)",0.889976354874491,9.51066902384767,20,1.89440222794113e-21,"****",0.0180135892583881,1769.73815978781,500
"44","Abundance","Brachycera","Fixed effects","Area",1.32161663588591,7.65562917634676,20,1.9236807220945e-14,"****",0.0180135892583881,1769.73815978781,500
"45","Abundance","Brachycera","Random effects","Coordinates",NA,162.124155333751,20,0,"****",0.0180135892583881,1769.73815978781,500
"46","Abundance","Coleoptera","Fixed effects","(Intercept)",-0.112584719351669,-0.879666817186517,20,0.379039830453624,"ns",0.0864017049091227,1560.69707369973,500
"47","Abundance","Coleoptera","Fixed effects","Area",2.40298155966097,10.8625853365346,20,1.73759036967519e-27,"****",0.0864017049091227,1560.69707369973,500
"48","Abundance","Coleoptera","Random effects","Coordinates",NA,211.704699429822,20,0,"****",0.0864017049091227,1560.69707369973,500
"49","Abundance","Ephemeroptera","Fixed effects","(Intercept)",-1.89826750505702,-5.527960218467,19,3.2397548815103e-08,"****",0.029015032921021,10628.5098322915,500
"50","Abundance","Ephemeroptera","Fixed effects","Area",-1.23971391099259,-12.2742814314052,19,1.24492152354877e-34,"****",0.029015032921021,10628.5098322915,500
"51","Abundance","Ephemeroptera","Random effects","Coordinates",NA,2584.74486358586,19,0,"****",0.029015032921021,10628.5098322915,500
"52","Abundance","Hemiptera","Fixed effects","(Intercept)",-0.285580887267765,-2.27849124478141,18,0.0226973255480769,"*",0.723039891292754,1428.43938698334,500
"53","Abundance","Hemiptera","Fixed effects","Area",3.1564412295928,15.0439069557565,18,3.78534232505139e-51,"****",0.723039891292754,1428.43938698334,500
