"","Response","Effect.type","Explanatory","Estimate","Statistics","K","P","Signif","R2","AIC","Scale"
"1","SAD-component","Fixed effects","(Intercept)",1.06425273948875,11.431887249923,7,4.3916460772942e-26,"****",0.494769332139874,949.139632081886,100
"2","SAD-component","Fixed effects","Area",0.464057268638382,3.00017335890148,7,0.00288320278789328,"**",0.494769332139874,949.139632081886,100
"3","SAD-component","Fixed effects","Life cycle",1.60351907756816,10.8616821917307,7,5.236633165941e-24,"****",0.494769332139874,949.139632081886,100
"4","SAD-component","Fixed effects","Area:Life cycle",-0.0893309872724727,-0.423680536588646,7,0.672047858714988,"ns",0.494769332139874,949.139632081886,100
"5","SAD-component","Random effects","Coordinates",NA,18.1409721012562,7,0.00618996149802653,"**",0.494769332139874,949.139632081886,100
"6","N-component","Fixed effects","(Intercept)",1.09934996224457,17.8312128924384,7,1.27024636254414e-51,"****",0.252812822432494,639.298016497766,100
"7","N-component","Fixed effects","Area",-0.928340788804928,-9.05724600024673,7,8.16671342628353e-18,"****",0.252812822432494,639.298016497766,100
"8","N-component","Fixed effects","Life cycle",-0.853167170788255,-8.73582685920604,7,8.81922513974337e-17,"****",0.252812822432494,639.298016497766,100
"9","N-component","Fixed effects","Area:Life cycle",1.35623446251131,9.72371637180785,7,4.99270583507268e-20,"****",0.252812822432494,639.298016497766,100
"10","N-component","Random effects","Coordinates",NA,29.4071199624147,7,7.81822357861506e-05,"****",0.252812822432494,639.298016497766,100
"11","SAD-component","Fixed effects","(Intercept)",1.03704096953035,10.7246009313433,7,1.626200347225e-23,"****",0.494936250213987,949.105147421191,250
"12","SAD-component","Fixed effects","Area",0.551313479295253,3.17320063874808,7,0.00163535460498946,"**",0.494936250213987,949.105147421191,250
"13","SAD-component","Fixed effects","Life cycle",1.64467625989833,11.2455686656271,7,2.12555010554614e-25,"****",0.494936250213987,949.105147421191,250
"14","SAD-component","Fixed effects","Area:Life cycle",-0.163849480534783,-0.724326593799776,7,0.469328435071867,"ns",0.494936250213987,949.105147421191,250
"15","SAD-component","Random effects","Coordinates",NA,19.7740472834925,7,0.00357742871916567,"**",0.494936250213987,949.105147421191,250
"16","N-component","Fixed effects","(Intercept)",1.08475269917979,16.9371644687427,7,6.37318470034772e-48,"****",0.245050104850191,642.956197982971,250
"17","N-component","Fixed effects","Area",-0.943807540710664,-8.21810058638897,7,3.62256372237309e-15,"****",0.245050104850191,642.956197982971,250
"18","N-component","Fixed effects","Life cycle",-0.879968621962636,-9.04848434457269,7,8.7010479042573e-18,"****",0.245050104850191,642.956197982971,250
"19","N-component","Fixed effects","Area:Life cycle",1.48351106861356,9.86146956890513,7,1.69127608798157e-20,"****",0.245050104850191,642.956197982971,250
"20","N-component","Random effects","Coordinates",NA,25.2984590541068,7,0.000378227820777455,"***",0.245050104850191,642.956197982971,250
"21","SAD-component","Fixed effects","(Intercept)",1.01945141413537,9.83567919961575,7,2.07848605659599e-20,"****",0.493347562132514,950.308044728227,500
"22","SAD-component","Fixed effects","Area",0.607864292902794,3.04951647966284,7,0.00245916119136095,"**",0.493347562132514,950.308044728227,500
"23","SAD-component","Fixed effects","Life cycle",1.66403913478831,11.2484737979292,7,2.0752747093908e-25,"****",0.493347562132514,950.308044728227,500
"24","SAD-component","Fixed effects","Area:Life cycle",-0.1865273156105,-0.75180631276248,7,0.452651206507857,"ns",0.493347562132514,950.308044728227,500
"25","SAD-component","Random effects","Coordinates",NA,20.2538162885227,7,0.00298613247767521,"**",0.493347562132514,950.308044728227,500
"26","N-component","Fixed effects","(Intercept)",1.07928765329383,15.7514086125426,7,4.74221365735045e-43,"****",0.230217901793279,649.855917830576,500
"27","N-component","Fixed effects","Area",-0.957967080721514,-7.31048643409297,7,1.68580748167579e-12,"****",0.230217901793279,649.855917830576,500
"28","N-component","Fixed effects","Life cycle",-0.899775928248512,-9.07282536570252,7,7.22228517181615e-18,"****",0.230217901793279,649.855917830576,500
"29","N-component","Fixed effects","Area:Life cycle",1.59805531568085,9.60675786228907,7,1.23074696132707e-19,"****",0.230217901793279,649.855917830576,500
"30","N-component","Random effects","Coordinates",NA,20.4284390626343,7,0.00199417385147016,"**",0.230217901793279,649.855917830576,500
"31","SAD-component","Fixed effects","(Intercept)",0.830761161353801,5.58266261121691,13,4.66977803671436e-08,"****",0.498631784748801,951.748765616344,750
"32","SAD-component","Fixed effects","Area",1.01555064405738,3.29032617192456,13,0.00109956863909,"**",0.498631784748801,951.748765616344,750
"33","SAD-component","Fixed effects","Life cycle",1.69480004115249,11.0444765447351,13,1.2790853882423e-24,"****",0.498631784748801,951.748765616344,750
"34","SAD-component","Fixed effects","Area:Life cycle",-0.246649155609137,-0.923203289653539,13,0.356519486209616,"ns",0.498631784748801,951.748765616344,750
"35","SAD-component","Random effects","Coordinates",NA,29.8465565008347,13,0.00328557534923551,"**",0.498631784748801,951.748765616344,750
"36","N-component","Fixed effects","(Intercept)",1.10785333692905,14.6304488448078,13,1.81813249052111e-38,"****",0.238493640669975,647.175771536989,750
"37","N-component","Fixed effects","Area",-1.02078885317689,-6.79551260181147,13,4.4093004009517e-11,"****",0.238493640669975,647.175771536989,750
"38","N-component","Fixed effects","Life cycle",-0.966470338469429,-9.43413353227536,13,4.73591901056172e-19,"****",0.238493640669975,647.175771536989,750
"39","N-component","Fixed effects","Area:Life cycle",1.75637907782139,9.83000187684127,13,2.19449857954737e-20,"****",0.238493640669975,647.175771536989,750
"40","N-component","Random effects","Coordinates",NA,20.5985834540673,13,0.0108596490669673,"*",0.238493640669975,647.175771536989,750
