"","Trap","X","Y","Area0100","Area0250","Area0500","Area0750","Area1000","Area1500","Area2000","Area2500","Area3000"
"1","AI01A01",-59.825783,-1.494902,0.388888888888889,0.359090909090909,0.232690124858116,0.201417004048583,0.204719931760023,0.16896595367675,0.13644128113879,0.181267644112558,0.242715682242399
"2","AI01A02",-59.82583,-1.494748,0.285714285714286,0.330275229357798,0.219817767653759,0.193825910931174,0.19937250427838,0.167847204654693,0.136806890170119,0.182820185826198,0.24426659918388
"3","AI01A03",-59.825973,-1.49433,0.0555555555555556,0.222727272727273,0.180571428571429,0.175963488843813,0.183110605629798,0.163459103570524,0.136706518645033,0.186828201858262,0.24819643083154
"4","AI01A04",-59.826457,-1.4932,0,0.0226244343891403,0.120274914089347,0.129292929292929,0.137862421830586,0.147188881869867,0.138220640569395,0.197939929811768,0.25682939167826
"5","AI01A05",-59.827104,-1.490637,0,0,0.00113507377979569,0.0486322188449848,0.0691716481639624,0.117029352226721,0.164625462831102,0.218650396138785,0.278016696180116
"6","AI01A06",-59.828226,-1.486401,0,0,0,0,0.000284819139846198,0.0629901340753858,0.185978647686833,0.255192202586992,0.311228525326668
"7","AI01A07",-59.82964,-1.47755,0,0,0,0,0.0253705815279361,0.118397776093,0.227916577692362,0.331707539429301,0.405585779352227
"8","AI02A01",-59.677537,-1.761405,0.457142857142857,0.377272727272727,0.263097949886105,0.180668016194332,0.138865126889079,0.157774968394437,0.196340855698726,0.223816682611271,0.248442293702755
"9","AI02A02",-59.677384,-1.761406,0.351351351351351,0.351351351351351,0.264,0.181218274111675,0.138028969042886,0.155775075987842,0.193892803758275,0.222475184409434,0.246258029809183
"10","AI02A03",-59.677014,-1.761418,0.142857142857143,0.26605504587156,0.257403189066059,0.179746835443038,0.135728542914172,0.150246616921715,0.187798106357229,0.219681093394077,0.240597222661563
"11","AI02A04",-59.675806,-1.761235,0,0.0590909090909091,0.219069239500568,0.173670886075949,0.137154262902766,0.136208422916403,0.172052961275626,0.210682087241599,0.223761186478196
"12","AI02A05",-59.673089,-1.760645,0,0,0.00795454545454545,0.130258489609731,0.159213899174025,0.108508483160294,0.151886120996441,0.185988247619915,0.19248291571754
"13","AI03A01",-59.6650085,-1.871804042,0.305555555555556,0.211711711711712,0.198187995469989,0.224365482233503,0.206670467502851,0.189681335356601,0.25506792801764,0.303359008249396,0.378079246118332
"14","AI03A02",-59.66514311,-1.871685111,0.25,0.205479452054795,0.192525481313703,0.219574036511156,0.202279202279202,0.185719711355868,0.249964412811388,0.301033650562361,0.376372322586769
"15","AI03A03",-59.66547963,-1.871387784,0.0588235294117647,0.155963302752294,0.182954545454545,0.207193515704154,0.192088787706318,0.179688489299734,0.23834934187122,0.294808743169399,0.371520748987854
"16","AI03A04",-59.66628727,-1.8706742,0,0.0358744394618834,0.169336384439359,0.167256189994947,0.171078849985767,0.170524984187223,0.213115921389917,0.282583936950481,0.361336032388664
"17","AI03A05",-59.66830639,-1.868890239,0,0.0091324200913242,0.0364880273660205,0.102486047691527,0.115220483641536,0.145857052498419,0.173653120774322,0.260851742199954,0.336612989971211
"18","AI03A06",-59.67167158,-1.865916967,0,0,0.00797266514806378,0.0263424518743668,0.0526465566306204,0.111279716742539,0.173380782918149,0.242451842069311,0.296004555376293
