Trap;Lat;Long
FI28A07;-1.747734;-59.73764
FI28A08;-1.747916;-59.738974
FI30A01;-1.468654;-59.83621
FI30A02;-1.469166;-59.836147
FI31A01;-1.83208;-59.415405
FI32A01;-1.839976;-59.354991
FI32A02;-1.839058181;-59.35547744
MI01A00;-1.495046;-59.825788
MI02A00;-1.761438;-59.67764
MI03A00;-1.871863507;-59.66494119
MI08A00;-1.708292;-59.775923
MI10A00;-1.741022251;-59.45390744
MI12A00;-1.564791;-59.645168
MI12A01;-1.598456;-59.633922
MI13A00;-1.636248688;-59.75269686
MI15A00;-1.521895;-59.829039
MI18A00;-1.679593;-59.708119
MI19A00;-1.791628;-59.445799
MI20A00;-1.775463;-59.692532
MI23A00;-1.828509837;-59.67980325
MI24A01;-1.80272171;-59.51337052
MI24A02;-1.735873;-59.525386
MI27A00;-1.829539651;-59.63185696
MI28A01;-1.770966;-59.755748
MI28A02;-1.748158;-59.734591
MI30A00;-1.468896;-59.835752
MI31A00;-1.832097;-59.415401
MI32A00;-1.841073;-59.354534
TF01A01;-1.834439;-59.717669
TF01A02;-1.835362;-59.718344
TF01A03;-1.83618;-59.718975
TF01A04;-1.837094;-59.719647
TF01A05;-1.838026;-59.720268
TF01A06;-1.838874;-59.721061
TF01A07;-1.839678;-59.721844
TF01A08;-1.840724;-59.722406
TF01A09;-1.824477;-59.720366
TF01A10;-1.825656;-59.721042
TF01A11;-1.826942;-59.721833
TF01A12;-1.828094;-59.722395
TF01A13;-1.829867;-59.723206
TF01A14;-1.830807;-59.723931
TF01A15;-1.831748;-59.724935
TF01A16;-1.832775;-59.725865
TF02A01;-1.790071;-59.274803
TF02A02;-1.789763;-59.274772
TF02A03;-1.789393;-59.2748
TF02A04;-1.787847;-59.274882
TF02A05;-1.785648;-59.274887
TF02A06;-1.780661;-59.261957
TF02A07;-1.780703;-59.264309
TF02A08;-1.780861;-59.265275
TF02A09;-1.780826;-59.266198
TF02A10;-1.781319;-59.266559
TF02A11;-1.78231;-59.266519
TF02A12;-1.784786;-59.266427
TF02A13;-1.788994;-59.266073
TF02A14;-1.788885;-59.266141
TF02A15;-1.789938;-59.267069
TF02A16;-1.789969;-59.268033
TF02A17;-1.790044;-59.27074
TF03A01;-1.430941732;-59.91694146
TF03A02;-1.429886622;-59.91655813
TF03A03;-1.428831511;-59.9161748
TF03A04;-1.4277764;-59.91579148
TF03A05;-1.433055;-59.907585
TF03A06;-1.432007;-59.907073
TF03A07;-1.431013;-59.906521
TF03A08;-1.429954;-59.90595
TF03A09;-1.437053;-59.898424
TF03A10;-1.435616;-59.898392
TF03A11;-1.434615;-59.897748
TF03A12;-1.433353;-59.897372
