epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,574.509,1.13826,1.39814,1.36041,0.55157,0.46512,0.43459,0.27272,1.12213,1.34859,1.48153,0.000490204,0.000490204,0.000490204
44,588.761,1.11302,1.36115,1.35345,0.44553,0.42909,0.37533,0.25222,1.0685,1.44985,1.42856,0.000487875,0.000487875,0.000487875
45,601.324,1.1798,1.37746,1.38632,0.30898,0.4666,0.35845,0.22391,1.23379,1.46242,1.53637,0.000485547,0.000485547,0.000485547
46,613.838,1.16775,1.40143,1.38677,0.58424,0.40579,0.36081,0.22354,1.21467,1.50532,1.56578,0.000483218,0.000483218,0.000483218
47,626.363,1.15329,1.41602,1.3747,0.40888,0.46826,0.43726,0.28434,1.13054,1.39101,1.50714,0.00048089,0.00048089,0.00048089
48,639.367,1.1405,1.3578,1.38006,0.38429,0.42486,0.40789,0.27027,1.1426,1.4364,1.44508,0.000478561,0.000478561,0.000478561
49,651.868,1.10177,1.35492,1.37296,0.66896,0.43209,0.41079,0.24916,1.19559,1.41754,1.53708,0.000476233,0.000476233,0.000476233
50,664.382,1.09271,1.28941,1.34434,0.67301,0.33993,0.34351,0.2299,1.10859,1.43584,1.45299,0.000473904,0.000473904,0.000473904
51,676.931,1.11473,1.35499,1.35948,0.62628,0.32726,0.34457,0.23299,1.15974,1.57933,1.49961,0.000471576,0.000471576,0.000471576
52,689.496,1.11446,1.32912,1.34661,0.46854,0.47598,0.41992,0.27903,1.08282,1.28661,1.47875,0.000469248,0.000469248,0.000469248
53,702.043,1.11392,1.29484,1.35129,0.49444,0.42072,0.40939,0.27279,1.16765,1.47487,1.54118,0.000466919,0.000466919,0.000466919
54,714.576,1.05667,1.27399,1.29944,0.51269,0.41521,0.42009,0.26679,1.15879,1.40607,1.49616,0.000464591,0.000464591,0.000464591
55,728.332,1.08327,1.20917,1.33203,0.56436,0.39606,0.42974,0.2837,1.18904,1.36471,1.49568,0.000462262,0.000462262,0.000462262
56,740.841,1.10981,1.27031,1.34662,0.48561,0.37486,0.38257,0.23725,1.13901,1.47039,1.45131,0.000459934,0.000459934,0.000459934
57,753.337,1.0663,1.24158,1.31328,0.64631,0.34905,0.36765,0.24288,1.04963,1.39948,1.38849,0.000457605,0.000457605,0.000457605
58,765.857,1.07561,1.21508,1.3203,0.70672,0.36689,0.42322,0.29655,1.11109,1.30212,1.45456,0.000455277,0.000455277,0.000455277
59,778.834,1.06422,1.20488,1.30764,0.67793,0.4552,0.50453,0.35433,1.03616,1.20617,1.41853,0.000452948,0.000452948,0.000452948
60,791.816,1.06571,1.20703,1.31334,0.61418,0.47495,0.45986,0.30288,1.09043,1.29944,1.42346,0.00045062,0.00045062,0.00045062
61,804.367,1.03156,1.16101,1.29169,0.54553,0.44609,0.43251,0.28278,1.08508,1.40413,1.43176,0.000448291,0.000448291,0.000448291
62,816.874,1.04749,1.1362,1.30885,0.36458,0.52829,0.4303,0.30047,1.04481,1.2645,1.4003,0.000445963,0.000445963,0.000445963
63,829.408,1.0853,1.22488,1.35084,0.41569,0.48066,0.38096,0.26567,1.07848,1.43055,1.42517,0.000443634,0.000443634,0.000443634
64,841.928,1.03071,1.16198,1.30933,0.66643,0.42783,0.44915,0.28403,1.1846,1.33563,1.53887,0.000441306,0.000441306,0.000441306
65,854.541,1.03429,1.22886,1.2947,0.55715,0.47873,0.48288,0.3278,1.07499,1.30694,1.4315,0.000438977,0.000438977,0.000438977
66,868.311,1.05493,1.17716,1.31992,0.64227,0.37791,0.46905,0.32136,1.0936,1.20829,1.4355,0.000436649,0.000436649,0.000436649
67,880.869,1.04309,1.10954,1.30814,0.6027,0.49714,0.49293,0.35295,1.03175,1.17945,1.40778,0.00043432,0.00043432,0.00043432
68,893.414,1.02773,1.09997,1.28996,0.70773,0.48843,0.48793,0.33658,1.03485,1.31563,1.3692,0.000431992,0.000431992,0.000431992
69,905.994,1.01511,1.13804,1.29022,0.46791,0.39388,0.38848,0.2559,1.22372,1.75305,1.55767,0.000429663,0.000429663,0.000429663
70,918.517,1.02464,1.16006,1.2907,0.70871,0.44818,0.50244,0.35858,1.04493,1.20897,1.41493,0.000427335,0.000427335,0.000427335
71,931.483,0.97334,1.08184,1.26248,0.41939,0.37066,0.37139,0.23557,1.28942,1.82153,1.60356,0.000425006,0.000425006,0.000425006
72,944.044,1.06773,1.15769,1.32169,0.61641,0.39691,0.42206,0.2892,1.11756,1.42992,1.42334,0.000422678,0.000422678,0.000422678
73,956.556,1.00316,1.07637,1.27512,0.58807,0.4144,0.46036,0.31091,1.07756,1.19522,1.42814,0.000420349,0.000420349,0.000420349
74,969.051,0.98783,1.03884,1.26175,0.60501,0.44937,0.44981,0.3046,1.02686,1.26756,1.39223,0.000418021,0.000418021,0.000418021
75,981.664,0.95313,1.05301,1.24676,0.63217,0.48433,0.47484,0.32787,1.07319,1.17818,1.41655,0.000415692,0.000415692,0.000415692
76,994.696,0.97671,1.06811,1.23995,0.34297,0.57141,0.46644,0.33048,1.01578,1.22788,1.3662,0.000413364,0.000413364,0.000413364
77,1008.58,0.97754,1.09239,1.25012,0.62571,0.44991,0.46595,0.3254,1.03966,1.31802,1.41271,0.000411036,0.000411036,0.000411036
78,1021.14,0.97445,1.11214,1.24951,0.54,0.5176,0.52622,0.35868,1.06138,1.23674,1.44735,0.000408707,0.000408707,0.000408707
79,1034.17,0.97169,1.03198,1.26017,0.64518,0.38402,0.45597,0.29842,1.1237,1.42003,1.49263,0.000406379,0.000406379,0.000406379
80,1046.7,0.9904,1.1268,1.27171,0.527,0.41348,0.41784,0.29003,1.11638,1.42697,1.48963,0.00040405,0.00040405,0.00040405
81,1059.24,1.0055,1.03863,1.27506,0.6589,0.50418,0.48639,0.3422,1.01904,1.17568,1.40419,0.000401722,0.000401722,0.000401722
82,1071.75,0.97331,0.99155,1.2618,0.54459,0.46326,0.46744,0.31562,1.04701,1.31742,1.41851,0.000399393,0.000399393,0.000399393
83,1084.26,0.9382,0.96194,1.2315,0.56889,0.49348,0.52149,0.35483,1.0172,1.21281,1.39463,0.000397065,0.000397065,0.000397065
84,1096.77,0.92643,0.9206,1.22839,0.69835,0.50575,0.52392,0.36647,1.02472,1.17123,1.37658,0.000394736,0.000394736,0.000394736
85,1109.8,0.91313,0.93254,1.22367,0.51795,0.49544,0.48438,0.34758,1.01744,1.22539,1.39366,0.000392408,0.000392408,0.000392408
86,1122.32,0.90836,0.96068,1.21418,0.52479,0.47078,0.49218,0.33918,1.00514,1.19603,1.38177,0.000390079,0.000390079,0.000390079
87,1134.82,0.91808,0.91083,1.21752,0.52004,0.29958,0.35079,0.23209,1.26439,1.83387,1.59311,0.000387751,0.000387751,0.000387751
88,1148.62,0.95154,0.96196,1.2528,0.50014,0.44334,0.46055,0.32547,1.07899,1.31512,1.41775,0.000385422,0.000385422,0.000385422
89,1161.11,0.95532,0.92636,1.24503,0.38607,0.62237,0.50122,0.36295,0.98067,1.27346,1.35445,0.000383094,0.000383094,0.000383094
90,1173.59,0.92786,0.94836,1.22422,0.55297,0.47563,0.50613,0.35107,1.03895,1.1559,1.41659,0.000380765,0.000380765,0.000380765
91,1186.11,0.87973,0.86939,1.19847,0.5303,0.42617,0.47492,0.33152,1.08183,1.30113,1.43676,0.000378437,0.000378437,0.000378437
92,1198.61,0.89646,0.90929,1.21357,0.5865,0.46607,0.52666,0.36055,1.06905,1.20431,1.46415,0.000376108,0.000376108,0.000376108
93,1211.1,0.93919,0.92278,1.24705,0.66116,0.50015,0.53131,0.374,1.03428,1.17375,1.38431,0.00037378,0.00037378,0.00037378
94,1224.11,0.89615,0.87801,1.20712,0.66186,0.48483,0.54298,0.38989,1.00968,1.11132,1.38901,0.000371451,0.000371451,0.000371451
95,1237.08,0.87349,0.89792,1.2049,0.39301,0.55195,0.50305,0.36399,1.03184,1.24556,1.39374,0.000369123,0.000369123,0.000369123
96,1249.6,0.88837,0.90245,1.19784,0.5705,0.47141,0.5214,0.36778,0.99071,1.14891,1.36365,0.000366794,0.000366794,0.000366794
97,1262.11,0.88926,0.89393,1.20237,0.51446,0.49831,0.51298,0.3641,1.00707,1.16745,1.40861,0.000364466,0.000364466,0.000364466
98,1274.51,0.84433,0.81886,1.1795,0.53282,0.52703,0.48885,0.33257,1.0708,1.17714,1.43454,0.000362137,0.000362137,0.000362137
99,1288.29,0.86609,0.86091,1.18437,0.43999,0.37638,0.38669,0.25099,1.32844,1.97706,1.63256,0.000359809,0.000359809,0.000359809
100,1300.81,0.85984,0.80932,1.18172,0.55531,0.39965,0.42484,0.28412,1.19957,1.57628,1.51375,0.00035748,0.00035748,0.00035748
101,1313.32,0.89279,0.85192,1.20492,0.55276,0.477,0.50564,0.3588,1.01684,1.13488,1.39927,0.000355152,0.000355152,0.000355152
102,1325.8,0.89892,0.83948,1.21331,0.47742,0.35158,0.37188,0.23863,1.23834,1.65644,1.60915,0.000352824,0.000352824,0.000352824
103,1338.27,0.87108,0.87786,1.21625,0.55784,0.54745,0.52381,0.37495,1.03422,1.13036,1.40955,0.000350495,0.000350495,0.000350495
104,1350.77,0.85203,0.78745,1.17484,0.67979,0.47508,0.54566,0.38122,1.06141,1.16738,1.4408,0.000348167,0.000348167,0.000348167
105,1363.26,0.84972,0.80994,1.18152,0.61965,0.47174,0.55361,0.39273,1.03435,1.18691,1.46692,0.000345838,0.000345838,0.000345838
106,1376.25,0.83494,0.82285,1.15804,0.59249,0.5403,0.51934,0.36909,1.02605,1.27988,1.38388,0.00034351,0.00034351,0.00034351
107,1388.74,0.81785,0.75872,1.17179,0.60677,0.50573,0.50976,0.35827,1.01666,1.25222,1.38347,0.000341181,0.000341181,0.000341181
108,1401.29,0.80746,0.75564,1.15121,0.6901,0.43236,0.49051,0.32719,1.11904,1.39168,1.49344,0.000338853,0.000338853,0.000338853
109,1413.85,0.83956,0.74423,1.15754,0.72119,0.42342,0.50371,0.33777,1.08661,1.29164,1.45604,0.000336524,0.000336524,0.000336524
110,1427.65,0.84899,0.79742,1.18206,0.56646,0.52569,0.54517,0.38077,1.05843,1.23035,1.41894,0.000334196,0.000334196,0.000334196
111,1440.15,0.79513,0.73282,1.12712,0.50916,0.51578,0.55714,0.39487,1.06804,1.17549,1.42877,0.000331867,0.000331867,0.000331867
112,1453.17,0.87241,0.8782,1.21744,0.68841,0.45066,0.50448,0.3663,1.00629,1.15048,1.41759,0.000329539,0.000329539,0.000329539
113,1465.67,0.80886,0.74728,1.15616,0.53619,0.47353,0.52217,0.35504,1.04848,1.14731,1.4461,0.00032721,0.00032721,0.00032721
114,1478.21,0.80809,0.77943,1.14674,0.72054,0.4226,0.53439,0.39038,1.04141,1.14335,1.44563,0.000324882,0.000324882,0.000324882
115,1490.76,0.79481,0.79978,1.13588,0.55741,0.44753,0.50834,0.37468,0.99517,1.26897,1.38905,0.000322553,0.000322553,0.000322553
116,1503.3,0.80656,0.82601,1.14837,0.5893,0.40685,0.50274,0.36238,1.02751,1.21529,1.40243,0.000320225,0.000320225,0.000320225
117,1515.81,0.78378,0.73518,1.12099,0.67728,0.49299,0.551,0.39333,1.01461,1.09797,1.39386,0.000317896,0.000317896,0.000317896
118,1528.32,0.7867,0.75867,1.1409,0.52926,0.54189,0.50385,0.3608,1.04963,1.1703,1.41663,0.000315568,0.000315568,0.000315568
119,1540.83,0.76994,0.7138,1.14333,0.56015,0.4473,0.51389,0.36345,1.07536,1.20185,1.42707,0.000313239,0.000313239,0.000313239
120,1553.37,0.75038,0.69905,1.12059,0.45926,0.56329,0.52235,0.35885,1.07634,1.369,1.44029,0.000310911,0.000310911,0.000310911
121,1567.14,0.78378,0.7255,1.13132,0.42004,0.60025,0.54181,0.3688,1.08958,1.14915,1.46676,0.000308582,0.000308582,0.000308582
122,1579.64,0.74928,0.69724,1.11695,0.55903,0.57131,0.58383,0.4143,1.04663,1.12003,1.46164,0.000306254,0.000306254,0.000306254
123,1592.64,0.75961,0.70225,1.11556,0.46332,0.53413,0.55336,0.40055,1.05995,1.12018,1.46934,0.000303925,0.000303925,0.000303925
124,1605.16,0.73389,0.66662,1.11647,0.56717,0.45799,0.5134,0.37226,1.01233,1.14077,1.41634,0.000301597,0.000301597,0.000301597
125,1617.68,0.74673,0.68224,1.1132,0.63206,0.45354,0.55674,0.40771,1.04851,1.10075,1.45983,0.000299268,0.000299268,0.000299268
126,1630.19,0.74588,0.69839,1.10929,0.6207,0.54225,0.58804,0.4364,0.97884,1.04401,1.3858,0.00029694,0.00029694,0.00029694
127,1643.21,0.70491,0.65763,1.08056,0.43995,0.53011,0.52183,0.36751,1.05884,1.19276,1.44088,0.000294612,0.000294612,0.000294612
128,1655.74,0.74353,0.70171,1.1102,0.45579,0.50905,0.55357,0.38568,1.05409,1.17239,1.47014,0.000292283,0.000292283,0.000292283
129,1668.26,0.74646,0.67966,1.12169,0.44497,0.57547,0.56475,0.41426,1.01046,1.11925,1.42768,0.000289955,0.000289955,0.000289955
130,1680.78,0.76876,0.71748,1.12981,0.63014,0.45311,0.53243,0.37372,1.07673,1.16664,1.48134,0.000287626,0.000287626,0.000287626
131,1693.3,0.76717,0.70197,1.12564,0.58098,0.52362,0.54288,0.38096,1.06324,1.1627,1.4785,0.000285298,0.000285298,0.000285298
132,1707.08,0.74143,0.68601,1.10315,0.56087,0.49069,0.52507,0.37581,1.01588,1.18342,1.44289,0.000282969,0.000282969,0.000282969
133,1719.58,0.72217,0.64934,1.09141,0.40058,0.56357,0.50864,0.36835,1.02701,1.25548,1.43082,0.000280641,0.000280641,0.000280641
134,1732.1,0.7488,0.69237,1.11483,0.51643,0.54649,0.54194,0.38212,1.06105,1.22517,1.47275,0.000278312,0.000278312,0.000278312
135,1744.59,0.73053,0.66716,1.09456,0.48543,0.49604,0.5566,0.3827,1.03363,1.08785,1.43952,0.000275984,0.000275984,0.000275984
136,1757.08,0.69281,0.6715,1.07001,0.67573,0.52546,0.57306,0.41323,1.02086,1.10611,1.43027,0.000273655,0.000273655,0.000273655
137,1769.57,0.71969,0.65582,1.09781,0.45372,0.49954,0.53279,0.372,1.05569,1.30083,1.47099,0.000271327,0.000271327,0.000271327
138,1781.97,0.72436,0.64648,1.10591,0.47216,0.49004,0.4836,0.32801,1.11945,1.30959,1.52343,0.000268998,0.000268998,0.000268998
139,1794.49,0.70428,0.62717,1.0783,0.49641,0.53651,0.5571,0.39716,1.01207,1.14971,1.40918,0.00026667,0.00026667,0.00026667
140,1807.03,0.71929,0.68413,1.10665,0.42581,0.49339,0.51365,0.34205,1.06106,1.15116,1.46406,0.000264341,0.000264341,0.000264341
